scientific_name,park_name,observations,category,common_names,conservation_status
Zigadenus venenosus var. gramineus,Yosemite National Park,168,Vascular Plant,"Deathcamas, Grassy Deathcamas",Não Avaliado
Heuchera parvifolia,Great Smoky Mountains National Park,64,Vascular Plant,"Common Alumroot, Littleleaf Alumroot, Little-Leaf Alumroot",Não Avaliado
Orbexilum pedunculatum var. pedunculatum,Great Smoky Mountains National Park,94,Vascular Plant,Sampson's Snakeroot,Não Avaliado
Pheucticus melanocephalus,Great Smoky Mountains National Park,84,Bird,Black-Headed Grosbeak,Não Avaliado
Agoseris retrorsa,Great Smoky Mountains National Park,84,Vascular Plant,Spearleaf Agoseris,Não Avaliado
Osmorhiza brachypoda,Great Smoky Mountains National Park,100,Vascular Plant,"California Sweetcicely, California Sweet-Cicely",Não Avaliado
Triticum aestivum,Bryce National Park,92,Vascular Plant,"Cultivated Wheat, Wheat",Não Avaliado
Triticum aestivum,Bryce National Park,92,Vascular Plant,"Common Wheat, Wheat",Não Avaliado
Rana catesbeiana,Yellowstone National Park,240,Amphibian,American Bullfrog,Não Avaliado
Rana catesbeiana,Yellowstone National Park,240,Amphibian,"American Bullfrog, Bullfrog",Não Avaliado
Luxilus coccogenis,Yellowstone National Park,254,Fish,Warpaint Shiner,Não Avaliado
Vicia cracca,Yellowstone National Park,267,Vascular Plant,"Bird Vetch, Cow Vetch, Tufted Vetch",Não Avaliado
Mentzelia lindleyi,Great Smoky Mountains National Park,99,Vascular Plant,Lindley's Blazingstar,Não Avaliado
Trillium undulatum,Yellowstone National Park,274,Vascular Plant,Painted Trillium,Não Avaliado
Salvia columbariae,Bryce National Park,111,Vascular Plant,Chia,Não Avaliado
Orthotrichum strangulatum,Yellowstone National Park,260,Nonvascular Plant,Strangulate Orthotrichum Moss,Não Avaliado
Raillardella scaposa,Yosemite National Park,183,Vascular Plant,"Greenleaf Silvermat, Stem Raillardella",Não Avaliado
Stephanomeria runcinata,Yellowstone National Park,219,Vascular Plant,"Desert Wirelettuce, Flowering-Straw",Não Avaliado
Coreopsis auriculata,Yellowstone National Park,239,Vascular Plant,"Auricled Tickseed, Lobed Tickseed",Não Avaliado
Didelphis virginiana,Yosemite National Park,139,Mammal,"Virginia Opossum, Virginia Oppossum",Não Avaliado
Didelphis virginiana,Yosemite National Park,139,Mammal,Virginia Opossum,Não Avaliado
Parnassia californica,Bryce National Park,143,Vascular Plant,"California Grass Of Parnassus, California Grass-Of-Parnassus",Não Avaliado
Perideridia bolanderi,Great Smoky Mountains National Park,78,Vascular Plant,Bolander's Yampah,Não Avaliado
Lysichiton americanus,Yosemite National Park,130,Vascular Plant,American Skunkcabbage,Não Avaliado
Dryopteris marginalis,Bryce National Park,111,Vascular Plant,"Marginal Wood Fern, Marginal Wood-Fern",Não Avaliado
Lupinus rivularis,Great Smoky Mountains National Park,61,Vascular Plant,Riverbank Lupine,Não Avaliado
Cyperus retrorsus var. robustus,Yellowstone National Park,259,Vascular Plant,Pine Barren Flatsedge,Não Avaliado
Aquilegia formosa,Great Smoky Mountains National Park,58,Vascular Plant,"Crimson Columbine, Western Columbine",Não Avaliado
Gyrinophilus porphyriticus,Bryce National Park,72,Amphibian,Spring Salamander,Não Avaliado
Epilobium canum ssp. garrettii,Bryce National Park,114,Vascular Plant,Garrett's Firechalice,Não Avaliado
Hymenophyllum tayloriae,Great Smoky Mountains National Park,104,Vascular Plant,Taylor's Filmy Fern,Não Avaliado
Cirsium andersonii,Yosemite National Park,163,Vascular Plant,"Anderson's Thistle, Rose Thistle",Não Avaliado
Symphyotrichum patens var. patens,Great Smoky Mountains National Park,58,Vascular Plant,Late Purple Aster,Não Avaliado
Artemisia abrotanum,Bryce National Park,113,Vascular Plant,Southernwood,Não Avaliado
Fragaria virginiana,Bryce National Park,97,Vascular Plant,"Virginia Strawberry, Wild Strawberry",Não Avaliado
Fragaria virginiana,Bryce National Park,97,Vascular Plant,"Thickleaved Wild Strawberry, Virginia Strawberry, Wild Strawberry",Não Avaliado
Carex subnigricans,Great Smoky Mountains National Park,69,Vascular Plant,"Black Sedge, Nearlyblack Sedge",Não Avaliado
Rorippa nasturtium-aquaticum,Bryce National Park,91,Vascular Plant,"True Watercress, Watercress",Não Avaliado
Rorippa nasturtium-aquaticum,Bryce National Park,91,Vascular Plant,Watercress,Não Avaliado
Dichanthelium dichotomum var. ensifolium,Yosemite National Park,159,Vascular Plant,Cypress Panicgrass,Não Avaliado
Taraxacum officinale,Great Smoky Mountains National Park,91,Vascular Plant,"Brown-Seed Dandelion, Common Dandelion",Não Avaliado
Taraxacum officinale,Great Smoky Mountains National Park,91,Vascular Plant,"Blowball, Common Dandelion, Dandelion, Faceclock",Não Avaliado
Pica hudsonia,Yosemite National Park,151,Bird,"Black-Billed Magpie, Magpie",Não Avaliado
Pica hudsonia,Yosemite National Park,151,Bird,Black-Billed Magpie,Não Avaliado
Thalictrum thalictroides,Yellowstone National Park,225,Vascular Plant,"Rue-Anemone, Windflower",Não Avaliado
Viola sororia var. affinis,Bryce National Park,127,Vascular Plant,Sand Violet,Não Avaliado
Plagiothecium cavifolium,Yosemite National Park,140,Nonvascular Plant,Plagiothecium Moss,Não Avaliado
Dicranum flagellare,Bryce National Park,107,Nonvascular Plant,Dicranum Moss,Não Avaliado
Herniaria hirsuta ssp. cinerea,Bryce National Park,111,Vascular Plant,Hairy Rupturewort,Não Avaliado
Quercus prinus,Yellowstone National Park,244,Vascular Plant,Chestnut Oak,Não Avaliado
Procyon lotor,Yosemite National Park,166,Mammal,"Common Raccoon, Raccoon",Não Avaliado
Procyon lotor,Yosemite National Park,166,Mammal,"Common Raccoon, Northern Raccoon, Raccoon",Não Avaliado
Procyon lotor,Yosemite National Park,166,Mammal,Raccoon,Não Avaliado
Carex nudata,Bryce National Park,92,Vascular Plant,Naked Sedge,Não Avaliado
Osmunda regalis var. spectabilis,Bryce National Park,113,Vascular Plant,Royal Fern,Não Avaliado
Angelica roseana,Yellowstone National Park,215,Vascular Plant,Rose Angelica,Não Avaliado
Pycnanthemum muticum,Yellowstone National Park,223,Vascular Plant,"Blunt Mountainmint, Clustered Mountainmint",Não Avaliado
Potentilla gracilis var. fastigiata,Yosemite National Park,130,Vascular Plant,"Northwest Cinquefoil, Nuttall's Cinquefoil, Slender Cinquefoil",Não Avaliado
Dendragapus fuliginosus,Great Smoky Mountains National Park,77,Bird,Sooty Grouse,Não Avaliado
Dianthus barbatus,Yellowstone National Park,249,Vascular Plant,"Sweet William, Sweet-William",Não Avaliado
Dianthus barbatus,Yellowstone National Park,249,Vascular Plant,Sweetwilliam,Não Avaliado
Glaucomys volans,Yosemite National Park,117,Mammal,Southern Flying Squirrel,Não Avaliado
Salix jepsonii,Great Smoky Mountains National Park,53,Vascular Plant,Jepson's Willow,Não Avaliado
Pyrus communis,Yosemite National Park,171,Vascular Plant,"Common Pear, Pear",Não Avaliado
Lonicera standishii,Yosemite National Park,173,Vascular Plant,Standish's Honeysuckle,Não Avaliado
Trachemys scripta troostii,Great Smoky Mountains National Park,48,Reptile,Cumberland Slider,Não Avaliado
Moneses uniflora,Yellowstone National Park,286,Vascular Plant,"One-Flowered Shinleaf, One-Flowered Wintergreen, Single Delight, Woodnymph",Não Avaliado
Camassia quamash ssp. breviflora,Yellowstone National Park,258,Vascular Plant,Small Camas,Não Avaliado
Trifolium arvense,Yellowstone National Park,274,Vascular Plant,Rabbitfoot Clover,Não Avaliado
Trillium pusillum var. pusillum,Yosemite National Park,150,Vascular Plant,Dwarf Wakerobin,Species of Concern
Castilleja pilosa,Great Smoky Mountains National Park,76,Vascular Plant,"Hairy Paintbrush, Parrothead Indian Paintbrush",Não Avaliado
Allophyllum gilioides ssp. gilioides,Bryce National Park,55,Vascular Plant,"Dense False Gilia, Dense False Gilyflower",Não Avaliado
Limosella acaulis,Yosemite National Park,128,Vascular Plant,Owyhee Mudwort,Não Avaliado
Sanicula marilandica,Great Smoky Mountains National Park,52,Vascular Plant,"Black Snakeroot, Black Snake-Root",Não Avaliado
Sanicula marilandica,Great Smoky Mountains National Park,52,Vascular Plant,"Black Sanicle, Maryland Black-Snakeroot, Maryland Sanicle",Não Avaliado
Hemerocallis fulva,Yellowstone National Park,237,Vascular Plant,"Orange Daylily, Orange Day-Lily",Não Avaliado
Artemisia tridentata ssp. tridentata,Yellowstone National Park,234,Vascular Plant,"Basin Big Sagebrush, Big Sagebrush",Não Avaliado
Ophioglossum pusillum,Bryce National Park,123,Vascular Plant,"Northern Adderstongue, Northern Adder's-Tongue",Não Avaliado
Fagopyrum vulgare,Yosemite National Park,165,Vascular Plant,Buckwheat,Não Avaliado
Penstemon cyaneus,Bryce National Park,100,Vascular Plant,Blue Penstemon,Não Avaliado
Eleocharis quadrangulata,Bryce National Park,108,Vascular Plant,Squarestem Spikerush,Não Avaliado
Ipomoea lacunosa,Yosemite National Park,156,Vascular Plant,"Small White Morning-Glory, Small-Flower White Morning-Glory",Não Avaliado
Monarda fistulosa var. menthifolia,Great Smoky Mountains National Park,110,Vascular Plant,"Mintleaf Bergamot, Wild Bergamot",Não Avaliado
Atriplex argentea,Yellowstone National Park,242,Vascular Plant,"Silverscale, Silverscale Saltbush, Silverscale Saltweed",Não Avaliado
Carex retroflexa,Bryce National Park,52,Vascular Plant,Reflexed Sedge,Não Avaliado
Trifolium aureum,Yosemite National Park,146,Vascular Plant,Yellow Or Hop-Clover,Não Avaliado
Trifolium aureum,Yosemite National Park,146,Vascular Plant,Golden Clover,Não Avaliado
Vulpia octoflora var. octoflora,Yosemite National Park,138,Vascular Plant,Sixweeks Fescue,Não Avaliado
Corallorrhiza wisteriana,Yellowstone National Park,261,Vascular Plant,Spring Coralroot,Não Avaliado
Corallorrhiza wisteriana,Yellowstone National Park,261,Vascular Plant,"Coralroot, Spring Coralroot",Não Avaliado
Chenopodium album var. missouriense,Great Smoky Mountains National Park,61,Vascular Plant,Missouri Lambsquarters,Não Avaliado
Eurycea guttolineata,Yellowstone National Park,218,Amphibian,Three-Lined Salamander,Não Avaliado
Pseudacris feriarum feriarum,Yosemite National Park,133,Amphibian,Upland Chorus Frog,Não Avaliado
Gambusia holbrooki,Bryce National Park,93,Fish,Eastern Mosquitofish,Não Avaliado
Schlotheimia rugifolia,Great Smoky Mountains National Park,34,Nonvascular Plant,Ruggedleaf Schlotheimia Moss,Não Avaliado
Asplenium platyneuron,Great Smoky Mountains National Park,74,Vascular Plant,Ebony Spleenwort,Não Avaliado
Oxyura jamaicensis,Bryce National Park,132,Bird,Ruddy Duck,Não Avaliado
Aristida oligantha,Yellowstone National Park,267,Vascular Plant,Prairie Threeawn,Não Avaliado
Ludwigia alternifolia,Yosemite National Park,187,Vascular Plant,"Alternate-Leaved Seedbox, Bushy Seedbox",Não Avaliado
Microtus richardsoni,Yellowstone National Park,262,Mammal,Richardson Water Vole,Não Avaliado
Hemerocallis lilioasphodelus,Yosemite National Park,154,Vascular Plant,Yellow Day-Lily,Não Avaliado
Drosera rotundifolia,Yosemite National Park,108,Vascular Plant,"Roundleaf Sundew, Sundew",Não Avaliado
Drosera rotundifolia,Yosemite National Park,108,Vascular Plant,Roundleaf Sundew,Não Avaliado
Isoetes engelmannii,Yellowstone National Park,240,Vascular Plant,"Appalachian Quillwort, Engelmann's Quillwort",Não Avaliado
Luxilus cornutus,Yellowstone National Park,245,Fish,Common Shiner,Não Avaliado
Lactuca biennis,Bryce National Park,68,Vascular Plant,Tall Blue Lettuce,Não Avaliado
Lactuca biennis,Bryce National Park,68,Vascular Plant,"Tall Blue Lettuce, Wild Blue Lettuce",Não Avaliado
Quercus bicolor,Great Smoky Mountains National Park,54,Vascular Plant,Swamp White Oak,Não Avaliado
Isothecium myosuroides,Great Smoky Mountains National Park,59,Nonvascular Plant,Isothecium Moss,Não Avaliado
Ranunculus eschscholtzii var. trisectus,Bryce National Park,93,Vascular Plant,Threesection Buttercup,Não Avaliado
Setophaga nigrescens,Great Smoky Mountains National Park,78,Bird,Black-Throated Gray Warbler,Não Avaliado
Viola glabella,Bryce National Park,84,Vascular Plant,Pioneer Violet,Não Avaliado
Spigelia marilandica,Yellowstone National Park,287,Vascular Plant,"Indian Pink, Woodland Pinkroot",Não Avaliado
Sagina decumbens ssp. occidentalis,Yosemite National Park,152,Vascular Plant,Western Pearlwort,Não Avaliado
Viola rotundifolia,Yosemite National Park,150,Vascular Plant,"Early Yellow Violet, Roundleaf Violet",Não Avaliado
Cyperus rivularis,Yosemite National Park,152,Vascular Plant,Riverside Umbrella-Sedge,Não Avaliado
Cathartes aura,Great Smoky Mountains National Park,47,Bird,Turkey Vulture,Species of Concern
Plectritis ciliosa ssp. ciliosa,Bryce National Park,98,Vascular Plant,"Longspur Seablush, Long-Spur Seablush",Não Avaliado
Hedwigia ciliata,Great Smoky Mountains National Park,87,Nonvascular Plant,Ciliate Hedwigia Moss,Não Avaliado
Madia yosemitana,Bryce National Park,117,Vascular Plant,Yosemite Tarweed,Não Avaliado
Sorex cinereus,Great Smoky Mountains National Park,47,Mammal,"Common Shrew, Masked Shrew",Não Avaliado
Sorex cinereus,Great Smoky Mountains National Park,47,Mammal,"Cinereus Shrew, Common Shrew, Masked Shrew",Não Avaliado
Populus X acuminata,Yosemite National Park,145,Vascular Plant,Lanceleaf Cottonwood,Não Avaliado
Arabis lemmonii var. lemmonii,Great Smoky Mountains National Park,62,Vascular Plant,Lemmon's Rockcress,Não Avaliado
Melica subulata,Yellowstone National Park,258,Vascular Plant,Alaska Oniongrass,Não Avaliado
Moxostoma erythrurum,Great Smoky Mountains National Park,73,Fish,Golden Redhorse,Não Avaliado
Cymopterus nivalis,Yellowstone National Park,241,Vascular Plant,Snowline Springparsley,Não Avaliado
Rhus hirta,Yellowstone National Park,222,Vascular Plant,Staghorn Sumac,Não Avaliado
Cerastium arvense,Yosemite National Park,143,Vascular Plant,"Field Chickweed, Field Mouse-Ear Chickweed, Starry Chickweed",Não Avaliado
Linum medium var. texanum,Bryce National Park,93,Vascular Plant,Stiff Yellow Flax,Não Avaliado
Asclepias californica,Great Smoky Mountains National Park,112,Vascular Plant,"California Milkweed, Round-Hood Milkweed, Woolly Milkweed",Não Avaliado
Magnolia acuminata,Yellowstone National Park,246,Vascular Plant,"Cucumber Magnolia, Cucumber-Tree",Não Avaliado
Symphyotrichum campestre,Yellowstone National Park,245,Vascular Plant,Western Meadow Aster,Não Avaliado
Moxostoma macrolepidotum,Yellowstone National Park,262,Fish,Shorthead Redhorse,Não Avaliado
Picoides albolarvatus,Yosemite National Park,116,Bird,White-Headed Woodpecker,Não Avaliado
Ranunculus repens,Bryce National Park,76,Vascular Plant,"Creeping Buttercup, Creeping Butter-Cup",Não Avaliado
Ranunculus repens,Bryce National Park,76,Vascular Plant,Creeping Buttercup,Não Avaliado
Bartonia paniculata ssp. paniculata,Yosemite National Park,146,Vascular Plant,Twining Screwstem,Não Avaliado
Lepomis megalotis,Great Smoky Mountains National Park,67,Fish,Longear Sunfish,Não Avaliado
Glaucidium gnoma,Bryce National Park,92,Bird,"Mountain Pygmy Owl, Northern Pygmy-Owl",Não Avaliado
Glaucidium gnoma,Bryce National Park,92,Bird,Northern Pygmy Owl,Não Avaliado
Cynoglossum officinale,Bryce National Park,69,Vascular Plant,Gypsyflower,Não Avaliado
Cynoglossum officinale,Bryce National Park,69,Vascular Plant,"Common Houndstongue, Gypsyflower, Gypsy-Flower, Hound's Tongue, Houndstongue",Não Avaliado
Dendroica palmarum,Yellowstone National Park,218,Bird,Palm Warbler,Não Avaliado
Aesculus sylvatica,Yellowstone National Park,263,Vascular Plant,Painted Buckeye,Não Avaliado
Platanus occidentalis,Yellowstone National Park,235,Vascular Plant,Sycamore,Não Avaliado
Picoides albolarvatus,Yellowstone National Park,246,Bird,White-Headed Woodpecker,Não Avaliado
Angelica venenosa,Great Smoky Mountains National Park,60,Vascular Plant,Hairy Angelica,Não Avaliado
Krigia montana,Great Smoky Mountains National Park,41,Vascular Plant,"False Dandelion, Mountain Krigia",Não Avaliado
Leucothoe davisiae,Bryce National Park,84,Vascular Plant,Sierra Laurel,Não Avaliado
Glyceria striata,Yosemite National Park,142,Vascular Plant,"Fowl Manna-Grass, Striate Mannagrass",Não Avaliado
Glyceria striata,Yosemite National Park,142,Vascular Plant,"Fowl Manna Grass, Fowl Mannagrass",Não Avaliado
Mimulus floribundus,Yellowstone National Park,252,Vascular Plant,"Floriferous Monkeyflower, Manyflowered Monkeyflower, Purplestem Monkeyflower",Não Avaliado
Lathyrus jepsonii var. californicus,Yellowstone National Park,235,Vascular Plant,California Pea,Não Avaliado
Wolffia brasiliensis,Bryce National Park,85,Vascular Plant,Brazilian Watermeal,Não Avaliado
Abietinella abietina,Great Smoky Mountains National Park,65,Nonvascular Plant,Abietinella Moss,Não Avaliado
Etheostoma maculatum,Bryce National Park,114,Fish,Spotted Darter,Não Avaliado
Ranunculus cymbalaria var. saximontanus,Yellowstone National Park,227,Vascular Plant,Rocky Mountain Buttercup,Não Avaliado
Krascheninnikovia lanata,Yellowstone National Park,255,Vascular Plant,Winterfat,Não Avaliado
Sematophyllum marylandicum,Yosemite National Park,166,Nonvascular Plant,Maryland Sematophyllum Moss,Não Avaliado
Stellaria longipes var. longipes,Yellowstone National Park,256,Vascular Plant,"Chickweed, Longstalk Starwort",Não Avaliado
Aureolaria virginica,Yosemite National Park,131,Vascular Plant,Downy False-Foxglove,Não Avaliado
Notropis atherinoides,Yellowstone National Park,247,Fish,Emerald Shiner,Não Avaliado
Asarum lemmonii,Yellowstone National Park,281,Vascular Plant,Lemmon's Wildginger,Não Avaliado
Scutellaria serrata,Great Smoky Mountains National Park,94,Vascular Plant,Showy Skullcap,Não Avaliado
Fraxinus dipetala,Great Smoky Mountains National Park,83,Vascular Plant,"California Ash, Two-Petal Ash",Não Avaliado
Agastache urticifolia,Great Smoky Mountains National Park,57,Vascular Plant,"Horsemint Giant Hyssop, Nettleleaf Giant Hyssop",Não Avaliado
Phlox hoodii,Great Smoky Mountains National Park,101,Vascular Plant,"Hood's Phlox, Spiny Phlox",Não Avaliado
Ilex ambigua,Yellowstone National Park,253,Vascular Plant,Beadle's Holly,Não Avaliado
Dodecatheon hendersonii,Yellowstone National Park,268,Vascular Plant,Mosquito Bills,Não Avaliado
Carex fracta,Yosemite National Park,192,Vascular Plant,Fragile Sheath Sedge,Não Avaliado
Calidris canutus,Bryce National Park,106,Bird,Red Knot,Não Avaliado
Douglasia montana,Bryce National Park,75,Vascular Plant,Rocky Mountain Dwarf-Primrose,Não Avaliado
Dendroica virens,Yosemite National Park,152,Bird,Black-Throated Green Warbler,Não Avaliado
Brachythecium acuminatum,Great Smoky Mountains National Park,93,Nonvascular Plant,Acuminate Brachythecium Moss,Não Avaliado
Aspidotis densa,Great Smoky Mountains National Park,76,Vascular Plant,"Indian's Dream, Pod Fern",Não Avaliado
Woodwardia fimbriata,Yosemite National Park,155,Vascular Plant,"Giant Chain Fern, Giant Chainfern",Não Avaliado
Parapholis incurva,Yellowstone National Park,257,Vascular Plant,Curved Sicklegrass,Não Avaliado
Eptesicus fuscus,Bryce National Park,112,Mammal,Big Brown Bat,Species of Concern
Eptesicus fuscus,Bryce National Park,112,Mammal,"Big Brown Bat, Big Brown Bat",Species of Concern
Lomatium cous,Great Smoky Mountains National Park,78,Vascular Plant,"Cous Biscuitroot, Cous' Biscuitroot, Cous-Root Desert-Parsley",Não Avaliado
Corydalis aurea var. aurea,Great Smoky Mountains National Park,53,Vascular Plant,Golden Corydalis,Não Avaliado
Sedum lanceolatum,Bryce National Park,108,Vascular Plant,"Lanceleaf Stonecrop, Lance-Leaf Stonecrop, Spearleaf Stonecrop",Não Avaliado
Gavia pacifica,Bryce National Park,124,Bird,"Pacific Diver, Pacific Loon",Não Avaliado
Gavia pacifica,Bryce National Park,124,Bird,Pacific Loon,Não Avaliado
Symphoricarpos albus var. laevigatus,Great Smoky Mountains National Park,92,Vascular Plant,Common Snowberry,Não Avaliado
Amelanchier alnifolia var. pumila,Yellowstone National Park,274,Vascular Plant,Dwarf Serviceberry,Não Avaliado
Dendroica tigrina,Bryce National Park,78,Bird,Cape May Warbler,Não Avaliado
Eriogonum nudum var. scapigerum,Bryce National Park,77,Vascular Plant,Naked Buckwheat,Não Avaliado
Townsendia alpigena,Bryce National Park,94,Vascular Plant,Wyoming Townsend Daisy,Não Avaliado
Conium maculatum,Yellowstone National Park,264,Vascular Plant,Poison Hemlock,Não Avaliado
Conium maculatum,Yellowstone National Park,264,Vascular Plant,"Cigue Maculee, Cigue Tachetee, Deadly Hemlock, Poison Hemlock, Poison Parsley, Poison-Hemlock",Não Avaliado
Lithophragma glabrum,Bryce National Park,93,Vascular Plant,"Bulbous Woodland-Star, Smooth Woodland-Star",Não Avaliado
Epilobium coloratum,Yellowstone National Park,233,Vascular Plant,Willow-Herb,Não Avaliado
Hypnum fertile,Yellowstone National Park,254,Nonvascular Plant,Hypnum Moss,Não Avaliado
Limosella acaulis,Bryce National Park,98,Vascular Plant,Owyhee Mudwort,Não Avaliado
Secale cereale,Yosemite National Park,169,Vascular Plant,"Cultivated Rye, Rye",Não Avaliado
Secale cereale,Yosemite National Park,169,Vascular Plant,"Cereal Rye, Common Rye, Cultivated Annual Rye, Cultivated Rye, Rye",Não Avaliado
Eriogonum nudum,Bryce National Park,90,Vascular Plant,"Naked Buckwheat, Nakedstem Buckwheat",Não Avaliado
Silphium asteriscus,Bryce National Park,89,Vascular Plant,"Starry Rosinweed, Starry Rosin-Weed",Não Avaliado
Silene menziesii,Great Smoky Mountains National Park,67,Vascular Plant,"Menzies' Campion, White Catchfly",Não Avaliado
Thalictrum sparsiflorum,Great Smoky Mountains National Park,54,Vascular Plant,"Fewflower Meadowrue, Fewflower Meadow-Rue",Não Avaliado
Saxifraga rhomboidea,Great Smoky Mountains National Park,83,Vascular Plant,"Diamondleaf Saxifrage, Diamond-Leaf Saxifrage",Não Avaliado
Asperugo procumbens,Great Smoky Mountains National Park,88,Vascular Plant,"German Mugwort, German-Madwort, Madwort",Não Avaliado
Notropis rubellus,Bryce National Park,97,Fish,Rosyface Shiner,Não Avaliado
Etheostoma sanguifluum,Bryce National Park,89,Fish,"Bloodfin Darter, Spotted Darter",Não Avaliado
Phasianus colchicus,Great Smoky Mountains National Park,83,Bird,"Common Pheasant, Ring-Necked Pheasant",Não Avaliado
Cirsium vulgare,Great Smoky Mountains National Park,84,Vascular Plant,Bull Thistle,Não Avaliado
Cirsium vulgare,Great Smoky Mountains National Park,84,Vascular Plant,"Bull Thistle, Common Thistle, Spear Thistle",Não Avaliado
Astragalus miser var. praeteritus,Bryce National Park,109,Vascular Plant,Yellowstone Milkvetch,Não Avaliado
Galium hypotrichium ssp. hypotrichium,Yosemite National Park,181,Vascular Plant,Alpine Bedstraw,Não Avaliado
Rubus argutus,Great Smoky Mountains National Park,92,Vascular Plant,"A Bramble, Highbush Blackberry",Não Avaliado
Carex raynoldsii,Bryce National Park,94,Vascular Plant,"Raynolds Sedge, Raynold's Sedge, Raynolds' Sedge",Não Avaliado
Bucephala clangula,Yellowstone National Park,252,Bird,Common Goldeneye,Não Avaliado
Carex limosa,Great Smoky Mountains National Park,91,Vascular Plant,Mud Sedge,Não Avaliado
Ptilagrostis kingii,Bryce National Park,119,Vascular Plant,Sierra False Needlegrass,Não Avaliado
Viola macloskeyi,Bryce National Park,77,Vascular Plant,"Macloskey's Violet, Small White Violet",Não Avaliado
Euphorbia lathyris,Yosemite National Park,135,Vascular Plant,Moleplant,Não Avaliado
Sisyrinchium idahoense var. idahoense,Yosemite National Park,186,Vascular Plant,Idaho Blue-Eyed Grass,Não Avaliado
Sedum radiatum,Yosemite National Park,149,Vascular Plant,Coast Range Stonecrop,Não Avaliado
Acer glabrum,Bryce National Park,30,Vascular Plant,Rocky Mountain Maple,Não Avaliado
Potentilla wheeleri,Yellowstone National Park,215,Vascular Plant,Kern Cinquefoil,Não Avaliado
Petrochelidon pyrrhonota,Bryce National Park,126,Bird,Cliff Swallow,Não Avaliado
Petrochelidon pyrrhonota,Bryce National Park,126,Bird,"American Cliff Swallow, Cliff Swallow",Não Avaliado
Noccaea montana,Great Smoky Mountains National Park,94,Vascular Plant,Alpine Pennycress,Não Avaliado
Troglodytes troglodytes,Yellowstone National Park,231,Bird,Winter Wren,Não Avaliado
Veronica persica,Yellowstone National Park,266,Vascular Plant,"Perscians' Speedwell, Speedwell",Não Avaliado
Veronica persica,Yellowstone National Park,266,Vascular Plant,"Bird-Eye Speedwell, Birdseye Speedwell, Persian Speedwell, Winter Speedwell",Não Avaliado
Tamias umbrinus,Yosemite National Park,182,Mammal,Uinta Chipmunk,Não Avaliado
Tamias umbrinus,Yosemite National Park,182,Mammal,Inyo Chipmunk,Não Avaliado
Colinus virginianus,Yosemite National Park,177,Bird,Northern Bobwhite,Não Avaliado
Artemisia cana ssp. bolanderi,Yosemite National Park,153,Vascular Plant,"Bolander's Silver Sagebrush, Silver Sagebrush",Não Avaliado
Epilobium densiflorum,Bryce National Park,116,Vascular Plant,"Dense-Flower Spike-Primrose, Denseflower Willowherb, Denseflower Willowweed",Não Avaliado
Agrostis mertensii,Bryce National Park,74,Vascular Plant,Northern Agrostis,Não Avaliado
Agrostis mertensii,Bryce National Park,74,Vascular Plant,"Arctic Bentgrass, Northern Bentgrass",Não Avaliado
Streptopelia decaocto,Bryce National Park,92,Bird,Eurasian Collared-Dove,Não Avaliado
Streptopelia decaocto,Bryce National Park,92,Bird,"Eurasian Collared Dove, Eurasian Collared-Dove",Não Avaliado
Streptopelia decaocto,Bryce National Park,92,Bird,Eurasian Collared Dove,Não Avaliado
Mimulus palmeri,Yellowstone National Park,233,Vascular Plant,Palmer's Monkeyflower,Não Avaliado
Lampropeltis triangulum triangulum,Great Smoky Mountains National Park,85,Reptile,Eastern Milk Snake,Não Avaliado
Cuscuta gronovii,Great Smoky Mountains National Park,97,Vascular Plant,"Dodder, Gronovius Dodder",Não Avaliado
Labidesthes sicculus,Yellowstone National Park,224,Fish,Brook Silverside,Não Avaliado
Phlox amoena,Yosemite National Park,142,Vascular Plant,"Hairy Phlox, Narrow-Leaved Phlox",Não Avaliado
Aimophila ruficeps,Bryce National Park,82,Bird,Rufous-Crowned Sparrow,Não Avaliado
Epipactis gigantea,Great Smoky Mountains National Park,47,Vascular Plant,"Giant Helleborine, Stream Orchid",Não Avaliado
Ixobrychus exilis,Bryce National Park,94,Bird,Least Bittern,Não Avaliado
Carex jamesii,Yellowstone National Park,231,Vascular Plant,"James? Sedge, Nebraska Sedge",Não Avaliado
Viola pubescens var. scabriuscula,Yosemite National Park,176,Vascular Plant,Downy Yellow Violet,Não Avaliado
Smilax tamnoides,Yellowstone National Park,228,Vascular Plant,"Bristly Greenbrier, Hispid Greenbrier",Não Avaliado
Ammodramus leconteii,Great Smoky Mountains National Park,86,Bird,Le Conte's Sparrow,Não Avaliado
Campanula divaricata,Great Smoky Mountains National Park,30,Vascular Plant,Southern Harebell,Não Avaliado
Plethodon jordani,Yellowstone National Park,273,Amphibian,"Appalachian Salamander, Jordan's Salamander",Não Avaliado
Cottus gulosus,Great Smoky Mountains National Park,41,Fish,Riffle Sculpin,Não Avaliado
Notropis volucellus,Yellowstone National Park,249,Fish,Mimic Shiner,Não Avaliado
Rubus suus,Yosemite National Park,145,Vascular Plant,Jennison's Blackberry,Não Avaliado
Diplazium pycnocarpon,Great Smoky Mountains National Park,74,Vascular Plant,Glade Fern,Não Avaliado
Danthonia compressa,Yosemite National Park,159,Vascular Plant,"Flattened Oatgrass, Mountain Oat Grass",Não Avaliado
Polioptila caerulea,Yosemite National Park,164,Bird,Blue-Gray Gnatcatcher,Não Avaliado
